id	name	type	desc	mode	food	iron	building	pre_building	pre_research	research_time	path	max_research	buffer_num	buffer_type	buffer_target	buffer_effect	buffer_delta	skills	end
0科技ID	1科技名称	2研究类型（暂时不需要）	3科技描述	4可用模式（0图鉴，1标准，2扩展）	5消耗粮食	6消耗钢铁	-7所属建筑	8前驱建筑（|分隔）	9（|分隔）前驱科技	10研发时间	11图片路径。这个是小图标，100*100像素足够	.12可重复研发次数（-1表无限）	.13增益个数	.14增益种类1（1建筑，2兵种，3科技，4英雄，5建筑类型，6兵种门派）	15增益目标1（建筑ID、兵种ID，科技ID，英雄ID）(-1表全部)	.16增益效果1（5粮耗 6铁耗 10建造时间 12生命上限 23攻击 24攻速 27-31抗性 32移速 33加技能）	.17增益数值1（攻防血加减，时间相关加减百分比）分隔数量与增益效果的数量相同	18增益技能1（研发完成后给目标给予技能，|分隔）	防多余换行符
1	铸剑术		掌握制造铁剑的简单技巧。	0|1|2	100	150	7	0	0	750	zhujian.png	1	0						1
2	锐器制造		一门精致的艺术，使得你可以制造箭矢、暗器、尖刺。	0|1|2	100	150	7	0	0	750	ruiqi.png	1	0						1
3	速度特训		你的官兵移速+10%。	0|1|2	150	150	6	0	0	3000	sudu.png	2	1	6	6	32	10		1
4	力量特训		你的官兵攻击+1。	0|1|2	150	150	6	0	0	3000	liliang.png	2	1	6	6	23	1		1
5	耐力特训		你的官兵生命+20。	0|1|2	150	150	6	0	0	3000	naili.png	2	1	6	6	12	20		1
6	纯牛奶技术		科研人员的智商提高了！使所有科技的研发速度提升20%！	0|1|2	400	0	21	0	0	3000	nai.png	1	1	3	-1	10	-20		1
7	方便面技术		方便面虽然不健康，但是它便宜啊！招募所有士兵的粮食消耗-10%。	0|1|2	400	0	21	25	0	3000	mian.png	1	1	2	-1	5	-10		1
8	工程制图		工程制图是工科生之间交流的语言。建造所有建筑的钢铁消耗-40%。	0|1|2	100	200	22	0	0	2250	zhitu.png	1	1	1	-1	6	-40		1
9	减震技术		你的建筑获得：近战、远程抗性+2。	0|1|2	100	150	22	0	0	2250	jianzhen.png	1	1	1	-1	30|31	2|2		1
10	万箭齐发		你的防御建筑被敌人摧毁时，对周围所有敌人造成10点伤害。	0|1|2	150	250	22	0	2	3000	wanjian.png	1	1	5	4	33	0	wanjian	1
11	罗汉拳		你的少林弟子攻击+1。	0|1|2	140	0	16	0	0	3000	sl_luohan.png	1	1	2	5	23	1		1
12	七星拳		你的少林弟子攻击+1。	0|1|2	140	0	16	0	11	3000	sl_7xing.png	1	1	2	5	23	1		1
13	少林五拳		你的少林弟子和少林武僧攻速+10%。	0|1|2	155	0	16	15	12	4500	sl_5quan.png	1	1	2	5|6	24	10		1
